country_code,title,job_category,company_name,city,contract_type,workday,salary_min,salary_max,salary_period,salary_currency,salary_type,remote,publish_date
us,"Sr. Sales Manager, Amazon Ads",Information Technology,Amazon Advertising LLC,"Chicago, IL",,,52574.0,76864.0,YEAR,USD,,,2022-08-09
us,Sr. Strategic Account Executive,Information Technology,MediaFly,"Chicago, IL",,,,,YEAR,USD,,,2022-08-09
us,"Head Solution Tech Lead, Supply Chain Mgmt /ERP Cloud for Cross Industries, Worldwide Specialist Organization",Information Technology,"Amazon Web Services, Inc.","Chicago, IL",,,182725.0,247216.0,YEAR,USD,,,2022-08-09
us,Real Estate Representative,Information Technology,AMISEQ,"Chicago, IL",,,75000.0,75000.0,YEAR,USD,,,2022-08-09
us,Biomedical Technician Information Systems,Information Technology,Veterans Engineering,"Chicago, IL",,,70000.0,80000.0,YEAR,USD,,,2022-08-09
us,"DevOps Engineer@ Chicago, IL",Information Technology,CEDENT,"Chicago, IL",,,71011.0,112410.0,YEAR,USD,,,2022-08-09
us,Auxiliary Recovery Technician,Information Technology,EVERSIGHT,"Chicago, IL",,,,,YEAR,USD,,,2022-08-09
us,"Senior Manager, Grocery, Grocery",Information Technology,Amazon Advertising LLC,"Chicago, IL",,,,,YEAR,USD,,,2022-08-09
us,Biomedical Technician I,Information Technology,COX IT Global,"Chicago, IL",,,50000.0,60000.0,YEAR,USD,,,2022-08-09
us,"Senior Finance Manager - AWS, S3 and Glacier Storage Finance",Information Technology,Amazon.com Services LLC,"Chicago, IL",,,118833.0,172975.0,YEAR,USD,,,2022-08-09
us,"Lead/Staff Production Engineer (Remote, Americas)",Information Technology,Shopify,"Chicago, IL",,,,,YEAR,USD,,,2022-08-09
us,General Manager,Information Technology,4 Star Restaurant Group Chicago HQ,"Chicago, IL",,,53424.0,81172.0,YEAR,USD,,,2022-08-09
us,"Finance Manager, Commercial GTM - Opportunity for Working Remotely Chicago, IL",Information Technology,VMware,"Chicago, IL",,,,,YEAR,USD,,,2022-08-09
us,Product Manager III - Data Stewardship,Information Technology,Expedia Group,"Chicago, IL",,,,,YEAR,USD,,,2022-08-09
us,Azure Database Administrator,Information Technology,Allscripts,"Chicago, IL",,,87621.0,121931.0,YEAR,USD,,,2022-08-09
us,Senior Director of Sales Enablement,Information Technology,Provi,"Chicago, IL",,,83011.0,128166.0,YEAR,USD,,,2022-08-09
us,SOC Analyst (Remote - Central Region),Information Technology,Mandiant,"Chicago, IL",,,,,YEAR,USD,,,2022-08-09
us,"Software Engineer ll, Android",Information Technology,Slack,"Chicago, IL",,,98866.0,138600.0,YEAR,USD,,,2022-08-09
us,Account Manager - M1,Information Technology,ECi Software Solutions,"Chicago, IL",,,,,YEAR,USD,,,2022-08-09
us,"Territory Sales Manager, School Partnerships",Information Technology,3P Learning,"Chicago, IL",,,,,YEAR,USD,,,2022-08-09
de,Payroll Specialist (m/w/d),Information Technology,TD SYNNEX,München,,,,,YEAR,EUR,,,2022-08-30
de,HR Manager (m/w/d),Information Technology,birkle IT,München,,,,,YEAR,EUR,,,2022-08-30
de,Senior Financial Planning & Analysis Controller,Information Technology,e-Infochips,München,,,,,YEAR,EUR,,,2022-08-30
uk,Major Incident & Problem Manager,Information Technology,NTT Data UK,"Birmingham, England",,,38782.0,54551.0,YEAR,GBP,,,2022-08-15
uk,"Sushi Chef, Birmingham, England",Information Technology,Cozymeal,"Birmingham, England",,,18995.0,35369.0,YEAR,GBP,,,2022-08-15
uk,"Chef/Culinary Instructor, Birmingham, England",Information Technology,Cozymeal,"Birmingham, England",,,18995.0,35369.0,YEAR,GBP,,,2022-08-15
us,Engineering Manager,Information Technology,Blackthorn Posting,"Chicago, IL",,,90000.0,130000.0,YEAR,USD,,,2022-08-09
